Luka Doncic|26|33.5|7.7|8.3|1.6|0.5|0.476|0.366|0.78
Shai Gilgeous-Alexander|27|31.1|4.3|6.6|1.4|0.8|0.553|0.386|0.879
Anthony Edwards|24|28.8|5.0|3.7|1.4|0.8|0.489|0.399|0.796
Jaylen Brown|29|28.7|6.9|5.1|1.0|0.4|0.477|0.347|0.795
Tyrese Maxey|25|28.3|4.1|6.6|1.9|0.8|0.462|0.367|0.892
Kawhi Leonard|34|27.9|6.4|3.6|1.9|0.4|0.505|0.387|0.892
Donovan Mitchell|29|27.9|4.5|5.7|1.5|0.3|0.483|0.364|0.865
Nikola Jokic|30|27.7|12.9|10.7|1.4|0.8|0.569|0.38|0.831
Giannis Antetokounmpo|31|27.6|9.8|5.4|0.9|0.7|0.624|0.333|0.65
Joel Embiid|31|26.9|7.7|3.9|0.6|1.2|0.489|0.333|0.854
Lauri Markkanen|28|26.7|6.9|2.1|1.0|0.5|0.477|0.355|0.896
Stephen Curry|37|26.6|3.6|4.7|1.1|0.4|0.468|0.393|0.923
Devin Booker|29|26.1|3.9|6.0|0.8|0.3|0.456|0.33|0.873
Jalen Brunson|29|26.0|3.3|6.8|0.8|0.1|0.467|0.369|0.841
Kevin Durant|37|26.0|5.5|4.8|0.8|0.9|0.52|0.413|0.874
Jamal Murray|28|25.4|4.4|7.1|0.9|0.4|0.483|0.435|0.887
Victor Wembanyama|22|25.0|11.5|3.1|1.0|3.1|0.512|0.349|0.827
Deni Avdija|25|24.2|6.9|6.7|0.8|0.6|0.462|0.318|0.802
Michael Porter Jr.|27|24.2|7.1|3.0|1.1|0.3|0.463|0.363|0.859
Pascal Siakam|31|24.0|6.6|3.8|1.1|0.4|0.484|0.358|0.693
Cade Cunningham|24|23.9|5.5|9.9|1.4|0.8|0.461|0.342|0.812
James Harden|36|23.6|4.8|8.0|1.1|0.4|0.434|0.375|0.884
Keyonte George|22|23.6|3.7|6.1|1.1|0.3|0.456|0.371|0.892
Austin Reaves|27|23.3|4.7|5.5|1.1|0.4|0.49|0.36|0.871
Jalen Johnson|24|22.5|10.3|7.9|1.2|0.4|0.489|0.352|0.788
Paolo Banchero|23|22.2|8.4|5.2|0.7|0.6|0.459|0.305|0.775
Jayson Tatum|27|21.8|10.0|5.3|1.4|0.2|0.411|0.329|0.823
Norman Powell|32|21.7|3.5|2.5|1.1|0.2|0.47|0.38|0.827
Brandon Ingram|28|21.5|5.6|3.7|0.8|0.7|0.477|0.382|0.82
Trey Murphy III|25|21.5|5.7|3.8|1.5|0.4|0.47|0.379|0.886
Julius Randle|31|21.1|6.7|5.0|1.1|0.2|0.481|0.315|0.802
Cooper Flagg|19|21.0|6.7|4.5|1.2|0.9|0.468|0.295|0.827
Zion Williamson|25|21.0|5.7|3.2|1.0|0.5|0.6|0.25|0.716
LeBron James|41|20.9|6.1|7.2|1.2|0.6|0.515|0.317|0.737
Nickeil Alexander-Walker|27|20.8|3.4|3.7|1.3|0.5|0.459|0.399|0.902
Shaedon Sharpe|22|20.8|4.3|2.6|1.4|0.1|0.452|0.337|0.787
Franz Wagner|24|20.6|5.2|3.3|0.9|0.3|0.481|0.345|0.823
Tyler Herro|26|20.5|4.8|4.1|0.7|0.4|0.48|0.378|0.917
Anthony Davis|32|20.4|11.1|2.8|1.1|1.7|0.506|0.27|0.728
Alperen Sengun|23|20.4|8.9|6.2|1.2|1.1|0.519|0.305|0.691
Dillon Brooks|30|20.2|3.6|1.8|1.0|0.2|0.435|0.344|0.842
Brandon Miller|23|20.2|4.9|3.3|1.0|0.7|0.435|0.383|0.892
Bam Adebayo|28|20.1|10.0|3.2|1.2|0.7|0.442|0.318|0.778
LaMelo Ball|24|20.1|4.8|7.1|1.2|0.2|0.407|0.368|0.899
Desmond Bane|27|20.1|4.1|4.1|1.0|0.5|0.484|0.391|0.908
Karl-Anthony Towns|30|20.1|11.9|3.0|0.9|0.5|0.501|0.368|0.858
Jimmy Butler|36|20.0|5.6|4.9|1.4|0.2|0.519|0.376|0.864
Ty Jerome|28|19.7|2.8|5.7|1.1|0.3|0.474|0.42|0.875
Jalen Duren|22|19.5|10.5|2.0|0.8|0.8|0.65|0.0|0.747
Ja Morant|26|19.5|3.3|8.1|1.0|0.3|0.41|0.235|0.897
Jaren Jackson Jr.|26|19.4|5.7|2.0|1.1|1.4|0.476|0.357|0.803
RJ Barrett|25|19.3|5.3|3.3|0.7|0.3|0.491|0.339|0.717
Zach LaVine|30|19.2|2.8|2.3|0.7|0.3|0.479|0.39|0.88
Darius Garland|26|18.8|2.4|6.7|1.0|0.2|0.46|0.396|0.861
CJ McCollum|34|18.7|3.3|3.9|0.8|0.5|0.455|0.375|0.772
De'Aaron Fox|28|18.6|3.8|6.2|1.2|0.3|0.486|0.332|0.76
Jerami Grant|31|18.6|3.5|2.1|0.7|0.6|0.453|0.389|0.814
Kon Knueppel|20|18.5|5.3|3.4|0.7|0.2|0.475|0.425|0.863
DeMar DeRozan|36|18.4|2.9|4.1|1.0|0.3|0.497|0.32|0.868
Amen Thompson|23|18.3|7.8|5.3|1.5|0.6|0.534|0.216|0.779
Evan Mobley|24|18.2|9.0|3.6|0.7|1.7|0.546|0.297|0.606
Scottie Barnes|24|18.1|7.5|5.9|1.4|1.5|0.507|0.304|0.815
Trae Young|27|17.9|2.0|8.0|0.9|0.1|0.458|0.338|0.825
Jalen Green|23|17.8|3.6|2.8|1.1|0.3|0.422|0.313|0.747
Saddiq Bey|26|17.7|5.6|2.5|0.9|0.1|0.451|0.367|0.841
Bennedict Mathurin|23|17.6|5.4|2.4|0.8|0.2|0.43|0.315|0.869
Coby White|25|17.4|3.4|4.0|0.5|0.1|0.446|0.362|0.817
Kevin Porter Jr.|25|17.4|5.2|7.4|2.2|0.5|0.465|0.322|0.878
Paul George|35|17.3|5.3|3.6|1.7|0.4|0.439|0.392|0.82
Ryan Rollins|23|17.3|4.6|5.6|1.5|0.4|0.472|0.406|0.796
