Chucky Hepburn|22|0|0.5|1|0.5|0|0|0|0
Tosan Evbuomwan|24|0|0.4|0|0|0|0|0|0
Noa Essengue|19|0|0|0|0.5|0|0|0|0
Darius Brown II|26|0|1|0|0|0|0|0|0
Jahmyl Telfort|24|0.1|0.4|0.1|0.1|0|0|0|0.25
Max Shulga|23|0.6|0.5|0.2|0.1|0|0.25|0.25|1
N'Faly Dante|24|0.8|1.8|0|0.5|0|0.25|0|1
Garrett Temple|39|0.8|0.4|0.4|0.2|0.1|0.267|0.25|0.667
Chris Manon|24|0.8|1.1|0.3|0.6|0.2|0.333|0|0.75
Vladislav Goldin|24|0.8|1|0.3|0|0.3|0.75|0|1
Markelle Fultz|27|0.8|0.2|1.6|0.4|0|0.182|0|0
Drew Peterson|26|0.8|1.5|0.3|0.5|0.2|0.125|0|0.5
Johni Broome|23|0.9|1.5|0.4|0.3|0.2|0.167|0|0.333
Bismack Biyombo|33|0.9|1|0.2|0.2|0.1|0.6|0|0.714
Stanley Umude|26|1|0|0.5|0.5|0|0.5|0|0
Dario Saric|31|1|1.2|0.4|0|0|0.167|0.333|1
Hunter Sallis|22|1|0.1|0.6|0|0.1|0.6|0|0.5
Trevor Keels|22|1|0.3|0|0.1|0|0.25|0.222|0
Trey Jemison|26|1|1.4|0.4|0.1|0.2|0.6|0|1
Javonte Cooke|26|1.2|1|0.4|0.3|0|0.22|0.13|1
Kyle Lowry|39|1.2|0.6|0.8|0.1|0.1|0.16|0.16|0.833
Colin Castleton|25|1.3|2|0.3|0.3|0|0.4|0|1
Nigel Hayes-Davis|31|1.3|1.2|0.3|0.3|0.1|0.326|0.125|0.5
Dillon Jones|24|1.3|1|0.6|0.4|0|0.222|0.2|1
Isaac Jones|25|1.3|0.7|0.1|0|0.1|0.429|0|0.75
TyTy Washington Jr.|24|1.3|0.4|1.1|0.4|0.2|0.474|0.375|0
Amari Williams|24|1.4|1.8|0.5|0.1|0.5|0.5|0|0.714
Thanasis Antetokounmpo|33|1.4|0.9|0.4|0.4|0.2|0.469|0|0.567
Xavier Tillman Sr.|27|1.5|1.4|0.4|0.3|0.2|0.435|0.167|0.25
Buddy Boeheim|26|1.5|0|0|0|0|0.333|0.333|0
Joe Ingles|38|1.5|0.7|1.3|0.3|0.1|0.593|0.438|1
Jonathan Mogbo|24|1.5|1.7|0.6|0.3|0.2|0.591|0|0.643
Mason Plumlee|35|1.6|2.7|1|0.5|0|0.786|0|0.643
Harrison Ingram|23|1.6|0.4|0.1|0|0|0.833|1|0
Jacob Toppin|25|1.6|0.2|0.2|0|0.2|0.667|0|0
Pacome Dadiet|20|1.7|0.9|0.4|0.1|0|0.333|0.219|0.818
Wendell Moore Jr.|24|1.7|1|0.7|0.3|0.3|0.571|0|1
Brooks Barnhizer|23|1.7|2|0.6|0.3|0.1|0.38|0.292|0.7
Orlando Robinson|25|1.8|1|0.8|0.3|0|0.6|0.5|0
Cody Martin|30|1.8|3.5|0.5|1|0.5|0.2|0|0.5
Jahmir Young|25|1.8|0.3|0.6|0.1|0|0.4|0.333|1
Isaiah Livers|27|1.8|1.7|0.6|0.4|0.2|0.344|0.3|0.75
Bobi Klintman|22|1.8|1.6|0.5|0.3|0|0.333|0.308|0
Sean Pedulla|23|1.9|0.4|0.7|0|0|0.333|0.3|0
Adou Thiero|21|1.9|1.1|0.4|0.3|0.1|0.516|0.333|0.636
Alex Morales|28|2|0.8|1|0|0|0.429|0|1
Maxi Kleber|34|2|2|0.6|0.4|0.3|0.452|0.231|0.538
Jayson Kent|23|2|1|0|0.2|0.2|0.571|0.25|1
Colby Jones|23|2|4|2|0|0|0.333|0|0
Trentyn Flowers|20|2|0.5|0.5|0|0|0.667|0|0
Isaiah Crawford|24|2|1.1|0.4|0.1|0.2|0.417|0.231|0.833
Dalano Banton|26|2|0.8|1.8|0.3|0.8|0.333|0|1
Jordan McLaughlin|29|2|0.7|0.9|0.5|0|0.418|0.425|0.857
Johnny Juzang|24|2|0.8|0.3|0.1|0|0.421|0.25|0.625
Chris Youngblood|23|2.1|0.8|0.4|0.1|0.1|0.349|0.333|0.9
Ariel Hukporti|23|2.2|2.9|0.5|0.2|0.5|0.563|0.25|0.788
Hunter Tyson|25|2.2|1.7|0.8|0.1|0|0.269|0.212|0.846
Yang Hansen|20|2.2|1.5|0.5|0.1|0.2|0.31|0.119|0.824
Alijah Martin|24|2.2|0.9|0.5|0.3|0.2|0.32|0.19|0.789
Jeff Green|39|2.2|0.8|0.3|0.1|0.1|0.368|0.273|1
Luke Travers|24|2.3|2|0.8|0.6|0.3|0.25|0.063|1
Caleb Houstan|23|2.3|0.6|0.2|0.1|0.1|0.538|0.524|1
Chris Boucher|33|2.3|2|0.3|0.6|0.8|0.32|0.133|0.75
Chaz Lanier|24|2.4|0.7|0.5|0.2|0|0.315|0.284|0.833
Andre Jackson Jr.|24|2.4|1.5|0.9|0.4|0.1|0.328|0.25|0.625
Lindy Waters III|28|2.4|0.7|0.5|0.2|0|0.375|0.342|0.667
Kevin McCullar Jr.|24|2.4|1.3|1|0.4|0|0.426|0.333|0.4
Hunter Dickinson|25|2.4|1|0.4|0.2|0.4|0.357|0|1
Lachlan Olbrich|22|2.4|3|1.1|0.3|0.2|0.468|0.105|0.375
JD Davison|23|2.5|1.2|1.3|0.2|0.2|0.375|0.25|0.684
John Tonje|24|2.5|1|0.3|0.3|0|0.286|0.3|1
Mo Bamba|27|2.5|5.5|0.3|0|0.8|0.455|0|0
Jonathan Isaac|28|2.6|2.5|0.4|0.4|0.6|0.422|0.184|0.603
Pat Connaughton|33|2.6|1.5|0.4|0.3|0|0.447|0.404|0.65
Gary Harris|31|2.7|1.3|1.1|0.6|0.2|0.442|0.412|0.889
Antonio Reeves|25|2.7|0.8|0.3|0.1|0|0.5|0.538|0
Christian Koloko|25|2.7|3|0.7|0.5|0.9|0.419|0.111|0.667
Rocco Zikarsky|19|2.8|2.8|0.4|0|1|0.625|0|1
Jae'Sean Tate|30|2.8|1.6|0.5|0.2|0.1|0.514|0.313|0.636
Kevon Looney|29|2.8|5.6|1.6|0.4|0.5|0.417|0.154|0.7
Norchad Omier|24|2.8|1.2|0.3|0.2|0|0.7|0|1
Cam Christie|20|2.8|1.4|0.6|0.3|0.1|0.381|0.245|0.76
Kobe Bufkin|22|2.9|0.8|0.6|0.1|0.2|0.3|0.192|0.917
Curtis Jones|24|2.9|1.1|1|0.4|0|0.407|0.333|0.5
Bronny James|21|2.9|0.5|1.2|0.5|0.1|0.409|0.386|0.857
David Jones Garcia|24|2.9|1.2|1.6|0.5|0.1|0.52|0.6|0.5
Julian Phillips|22|2.9|1|0.2|0.5|0.1|0.421|0.308|0.783
Duop Reath|29|2.9|1.2|0.3|0.2|0.3|0.446|0.418|0.833
Chris Paul|40|2.9|1.8|3.3|0.7|0|0.321|0.333|0.5
Tyus Jones|29|3|1.1|2.4|0.6|0|0.349|0.292|0.778
Monte Morris|30|3|1.2|1.5|0.2|0.2|0.35|0.25|0.5
Emanuel Miller|25|3|0.6|0.8|0.4|0|0.462|0.333|0.5
Chris Livingston|22|3|1|0.3|0.3|0|0.571|0|1
CJ Huntley|24|3|1.3|0.5|0.3|0|0.545|0|0
Khaman Maluach|19|3|2.9|0.1|0.1|0.7|0.533|0.238|0.71
Miles Kelly|23|3.1|1.7|0.9|0.3|0.1|0.364|0.303|1
Mark Sears|23|3.1|0.3|0.3|0|0|0.462|0.5|0.75
Jamison Battle|24|3.1|1.5|0.4|0.1|0|0.51|0.412|0.643
Kelly Olynyk|34|3.2|1.8|1.2|0.4|0.1|0.49|0.255|0.711
Alex Antetokounmpo|24|3.2|1|0.2|0|0.2|0.375|0.286|0.733
Amir Coffey|28|3.2|1.2|0.6|0.2|0.1|0.487|0.347|0.786
James Wiseman|24|3.3|2|0.8|0|0.3|0.6|0|0.5
Enrique Freeman|25|3.3|2.5|0.5|0.5|0.8|0.5|0.5|0.75
Malevy Leons|26|3.3|2.1|0.9|0.6|0.4|0.444|0.25|0.789
Dorian Finney-Smith|32|3.3|2.5|1|0.4|0.2|0.333|0.27|0.889
Isaiah Stevens|25|3.3|1|3.3|1.7|0|0.429|0|1
Dwight Powell|34|3.3|4.1|1.1|0.5|0.3|0.644|0.286|0.696
AJ Johnson|21|3.3|1.1|1|0.2|0.1|0.324|0.211|0.85
Taj Gibson|40|3.4|2.7|0.6|0.2|0.1|0.462|0.5|0.875
Drew Timme|25|3.4|1.2|0.9|0.2|0|0.576|0.44|0.556
Trayce Jackson-Davis|25|3.4|2.7|0.7|0.3|0.5|0.573|1|0.514
Yuki Kawamura|24|3.4|1.8|2.6|0.5|0|0.327|0.297|0.895
Olivier Sarr|26|3.5|2.8|1.3|0.5|0.8|0.714|0.667|0.4
Keaton Wallace|26|3.5|1.1|1.8|0.5|0.1|0.398|0.373|0.667
Mohamed Diawara|20|3.6|1.4|0.8|0.2|0.1|0.423|0.369|0.75
Jeremy Sochan|22|3.6|2.4|0.9|0.4|0.2|0.496|0.244|0.731
Myron Gardner|24|3.6|2.7|1|0.4|0.2|0.48|0.406|0.731
Zeke Nnaji|25|3.7|2.6|0.6|0.3|0.5|0.47|0.259|0.773
Dalen Terry|23|3.7|1.8|1.4|0.6|0.3|0.439|0.364|0.533
Patrick Baldwin Jr.|23|3.7|2.6|0.6|0.3|0.6|0.407|0.429|0.714
DaRon Holmes|23|3.7|1.4|0.6|0|0.2|0.508|0.444|0.786
Tolu Smith|25|3.7|3.3|0.9|0.1|0.4|0.5|0|0.667
Larry Nance Jr.|33|3.7|2.7|1|0.6|0.2|0.419|0.333|0.462
Koby Brea|23|3.8|0.7|0.8|0.1|0|0.417|0.433|1
Clint Capela|31|3.8|4.6|0.7|0.5|0.8|0.52|0.5|0.577
Omer Yurtseven|27|3.8|3.3|0.9|0.2|0.1|0.423|0|0.667
Noah Penda|21|3.8|3.2|1.2|0.5|0.3|0.404|0.323|0.688
Riley Minix|25|3.9|0.7|0.6|0.2|0.1|0.609|0.333|1
Joan Beringer|19|3.9|2.3|0.3|0.2|0.7|0.663|0|0.703
Hugo Gonzalez|19|3.9|3.3|0.5|0.6|0.3|0.476|0.362|0.5
Caleb Martin|30|3.9|2.5|1.4|0.7|0.3|0.45|0.351|0.607
Tony Bradley|28|4|2.8|0.5|0.1|0.2|0.547|0.5|0.744
Nicolas Batum|37|4|2.5|0.9|0.6|0.3|0.403|0.404|0.818
Brandon Clarke|29|4|3|0.5|1|0|0.333|0|0.5
Jaylen Clark|24|4|1.8|0.6|0.7|0.1|0.434|0.327|0.657
Tristan Enaruna|24|4.1|1.6|0.8|0.6|0|0.5|0.3|0.75
Carter Bryant|20|4.2|2.5|0.7|0.2|0.3|0.408|0.335|0.714
A.J. Lawson|25|4.2|1.8|0.3|0.5|0.2|0.436|0.422|0.778
Dalton Knecht|24|4.2|1.4|0.4|0.2|0.2|0.455|0.342|0.727
Ron Harper Jr.|25|4.2|1.7|0.8|0.3|0.3|0.418|0.35|0.75
Grant Nelson|23|4.3|1.5|1.3|0.3|1.3|0.556|0|0.7
Keshad Johnson|24|4.3|1.9|0.3|0.5|0.3|0.49|0.295|0.724
Keshon Gilbert|22|4.3|1.3|3|0.8|1|0.417|0|1
Liam McNeeley|20|4.3|2.4|0.8|0.2|0.1|0.4|0.4|0.821
